fila_id,venta_id,cliente_id,producto_id,fecha_compra,año,mes_texto,origen,cantidad,precio_unitario,monto
F-0001,FT-934200,CL-077,PRD-FD013,31/12/2024,2024,diciembre,Simulada,3,21950,65850
F-0002,FT-934200,CL-299,PRD-FD025,31/12/2024,2024,diciembre,Simulada,3,62950,188850
F-0003,FT-934200,CL-057,PRD-FD039,30/12/2024,2024,diciembre,Simulada,4,150950,603800
F-0004,FT-934200,CL-167,PRD-FD009,30/12/2024,2024,diciembre,Simulada,2,16950,33900
F-0005,FT-934201,CL-036,PRD-FD018,30/12/2024,2024,diciembre,Simulada,1,31407,31408
F-0006,FT-934201,CL-100,PRD-FD012,30/12/2024,2024,diciembre,Simulada,2,11950,23900
F-0007,FT-934202,CL-124,PRD-FD008,28/12/2024,2024,diciembre,Simulada,2,11300,22600
F-0008,FT-934203,CL-175,PRD-FD036,27/12/2024,2024,diciembre,Simulada,4,68450,273800
F-0009,FT-934204,CL-124,PRD-FD013,27/12/2024,2024,diciembre,Simulada,2,62950,125900
F-0010,FT-934204,CL-015,PRD-FD020,27/12/2024,2024,diciembre,Simulada,1,17950,17950
F-0011,FT-934204,CL-114,PRD-FD008,27/12/2024,2024,diciembre,Simulada,4,11950,47800
F-0012,FT-934204,CL-136,PRD-FD003,27/12/2024,2024,diciembre,Simulada,1,31408,31408
F-0013,FT-934204,CL-238,PRD-FD003,27/12/2024,2024,diciembre,Simulada,4,103950,415800
F-0014,FT-934205,CL-128,PRD-FD014,27/12/2024,2024,diciembre,Simulada,2,87950,175900
F-0015,FT-934205,CL-255,PRD-FD038,27/12/2024,2024,diciembre,Simulada,1,79350,79350
F-0016,FT-934205,CL-280,PRD-FD025,27/12/2024,2024,diciembre,Simulada,4,169950,679800
F-0017,FT-934205,CL-020,PRD-FD028,27/12/2024,2024,diciembre,Simulada,1,9600,9600
F-0018,FT-934205,CL-044,PRD-FD016,27/12/2024,2024,diciembre,Simulada,1,16950,16950
